"document","word","n"
1,"sort",1
2,"experiment",1
3,"carry",1
4,"regard",1
5,"education",1
6,"sometimes",1
7,"certain",1
8,"examination",1
9,"introduce",1
10,"drop",1
11,"time",1
12,"different",1
13,"method",1
14,"adopt",1
15,"different",1
16,"time",1
17,"intensive",1
18,"review",1
19,"education",1
20,"system",1
21,"essential",1
22,"education",1
23,"must",1
24,"keep",1
25,"outside",1
26,"everyday",1
27,"politic",1
28,"problem",1
29,"resolve",1
30,"observation",1
31,"make",1
32,"writer",1
33,"researcher",1
34,"relate",1
35,"education",1
36,"discussion",1
37,"book",1
38,"ekush",1
39,"shotokey",1
40,"bangladesh",1
41,"shikkhar",1
42,"rupantor",1
43,"bangladesh",1
44,"st",1
45,"century",1
46,"transformation",1
47,"education",1
48,"write",1
49,"brac",1
50,"university",1
51,"s",1
52,"emeritus",1
53,"professor",1
54,"educationist",1
55,"manzoor",1
56,"ahmed",1
57,"publish",1
58,"prothoma",1
59,"prokashon",1
60,"discussion",1
61,"take",1
62,"place",1
63,"yesterday",1
64,"thursday",1
65,"prothom",1
66,"alo",1
67,"office",1
68,"book",1
69,"extensively",1
70,"review",1
71,"bangladesh",1
72,"s",1
73,"education",1
74,"system",1
75,"independence",1
76,"country",1
77,"till",1
78,"present",1
79,"also",1
80,"discuss",1
81,"aspire",1
82,"transformation",1
83,"system",1
84,"despite",1
85,"news",1
86,"education",1
87,"commission",1
88,"form",1
89,"rule",1
90,"various",1
91,"government",1
92,"transformation",1
93,"education",1
94,"take",1
95,"place",1
96,"hope",1
97,"book",1
98,"dr",1
99,"manzoor",1
100,"ahmed",1
101,"discuss",1
102,"detail",1
103,"transformation",1
104,"achieve",1
105,"goal",1
106,"chapter",1
107,"nearly",1
108,"page",1
109,"book",1
110,"arrange",1
111,"four",1
112,"part",1
113,"writer",1
114,"highlight",1
115,"various",1
116,"progression",1
117,"predicament",1
118,"education",1
119,"system",1
120,"bangladesh",1
121,"book",1
122,"cost",1
123,"tk",1
124,"speak",1
125,"discussion",1
126,"writer",1
127,"manzoor",1
128,"ahmed",1
129,"say",1
130,"education",1
131,"multidimensional",1
132,"complex",1
133,"matter",1
134,"million",1
135,"student",1
136,"thousand",1
137,"thousand",1
138,"teacher",1
139,"educational",1
140,"institution",1
141,"parent",1
142,"guardian",1
143,"country",1
144,"population",1
145,"involve",1
146,"education",1
147,"one",1
148,"way",1
149,"education",1
150,"influence",1
151,"life",1
152,"various",1
153,"way",1
154,"everyone",1
155,"s",1
156,"view",1
157,"opinion",1
158,"must",1
159,"take",1
160,"cognizance",1
161,"determine",1
162,"objective",1
163,"strategy",1
164,"lack",1
165,"leadership",1
166,"area",1
167,"symptom",1
168,"disease",1
169,"address",1
170,"instead",1
171,"go",1
172,"root",1
173,"cause",1
174,"many",1
175,"different",1
176,"decision",1
177,"experimentation",1
178,"education",1
179,"essential",1
180,"go",1
181,"root",1
182,"problem",1
183,"find",1
184,"solution",1
185,"manzoor",1
186,"ahmed",1
187,"say",1
188,"country",1
189,"s",1
190,"future",1
191,"generation",1
192,"aim",1
193,"objective",1
194,"advance",1
195,"without",1
196,"education",1
197,"need",1
198,"effort",1
199,"free",1
200,"education",1
201,"influence",1
202,"conventional",1
203,"maleficent",1
204,"politic",1
205,"work",1
206,"towards",1
207,"solution",1
208,"take",1
209,"part",1
210,"discussion",1
